	perimeter	moment
1:	145.841		88282.9
1:	142.627		93253.5
1:	139.941		47010.9
1:	142.77		73050.5
1:	137.698		79019.8
1:	139.355		72630.7
1:	137.456		78432.7
1:	139.598		85808
1:	138.042		62870.1
1:	140.184		57823.1
1:	134.284		56254.4
1:	134.87		55442.6
1:	139.841		42320.2
1:	135.497		53185.5
1:	126.527		53564.3
1:	128.184		39621.4
1:	129.598		24235.9
1:	127.698		39103.3
1:	128.284		41511.9
1:	132.184		39615.9
1:	136.426		55453.2
1:	130.284		25236.5
1:	129.456		44038.6
1:	130.184		33456.4
1:	134.527		57419.1
1:	135.113		62698
1:	134.77		49479.3
1:	134.527		36303
1:	130.87		34027.4
1:	132.87		34104.1
1:	131.456		48757.6
1:	134.627		50666.8
1:	130.627		59251.3
1:	147.841		84880
1:	147.497		80886.2
1:	134.284		57557.9
1:	136.184		71981.8
1:	144.083		48442.9
1:	139.841		50916.6
1:	136.284		65719.2
1:	139.355		77729.9
1:	136.627		66815
1:	140.184		58277.8
1:	136.042		65471.2
1:	139.255		36925.2
1:	137.012		43785.5
1:	134.042		51200.2
1:	132.87		52049.8
1:	135.213		50915.9
1:	134.284		32640.8
1:	139.012		58299.6
1:	135.113		52955.9
2:	235.137		-178097
2:	231.581		-200692
2:	239.238		-197973
2:	237.823		-210396
2:	232.652		-186659
2:	229.581		-197328
2:	226.652		-209323
2:	233.48		-187749
2:	232.066		-199583
2:	234.551		-225539
2:	228.51		-195785
2:	226.752		-192395
2:	227.238		-187456
2:	226.995		-171633
2:	225.581		-212713
2:	226.995		-206153
2:	228.409		-191211
2:	222.894		-193758
2:	224.167		-208122
2:	216.409		-153184
2:	221.238		-150795
2:	221.137		-135457
2:	219.823		-144912
2:	220.309		-215687
2:	220.995		-187464
2:	224.167		-174129
2:	223.823		-193451
2:	229.238		-197086
2:	227.966		-144076
2:	231.38		-189961
2:	228.652		-161311
2:	228.894		-208964
2:	231.48		-189974
2:	226.409		-197480
2:	230.167		-162730
2:	231.823		-191239
2:	231.38		-218226
2:	228.894		-186283
2:	231.823		-172786
2:	225.48		-179368
2:	224.894		-174340
2:	228.167		-177737
2:	224.752		-169253
2:	226.409		-188138
2:	226.409		-172718
2:	223.238		-182423
2:	229.238		-183337
2:	232.551		-179910
2:	231.723		-176400
3:	235.238		-423421
3:	242.066		-421574
3:	243.723		-434788
3:	237.966		-403212
3:	235.338		-419210
3:	234.652		-395267
3:	233.48		-408013
3:	235.238		-380133
3:	232.409		-400793
3:	236.066		-371605
3:	233.48		-386961
3:	234.066		-404526
3:	230.409		-396379
3:	231.137		-368571
3:	226.894		-376641
3:	223.137		-354402
3:	227.238		-335554
3:	221.823		-368194
3:	223.238		-325934
3:	224.551		-367054
3:	225.723		-333485
3:	230.995		-352909
3:	226.409		-372113
3:	231.137		-407475
3:	234.208		-409099
3:	232.894		-422509
3:	229.723		-368266
3:	227.48		-336064
3:	230.894		-348648
3:	225.48		-360105
3:	231.48		-361568
3:	230.652		-364065
3:	230.409		-375414
3:	229.823		-386773
3:	229.238		-399726
3:	243.037		-426923
3:	237.723		-417071
3:	230.066		-416983
3:	233.723		-401776
3:	230.066		-402712
3:	230.652		-388317
3:	233.137		-371658
3:	230.551		-348941
3:	230.652		-368297
3:	236.652		-371344
3:	228.409		-375751
3:	230.652		-340530
3:	234.894		-354853
3:	232.652		-370445
3:	230.167		-343333
3:	229.238		-362756
4:	155.397		477081
4:	158.811		431015
4:	164.711		489296
4:	167.782		471351
4:	159.397		448434
4:	160.225		469686
4:	156.326		428220
4:	156.912		409265
4:	153.841		445078
4:	155.74		403977
4:	153.497		398046
4:	155.74		424276
4:	154.669		422614
4:	149.841		364610
4:	152.083		376819
4:	153.154		366080
4:	154.569		377100
4:	148.669		364076
4:	149.64		334565
4:	148.225		337965
4:	148.569		373045
4:	143.983		300027
4:	146.811		316975
4:	146.083		316935
4:	147.154		301077
4:	152.326		384777
4:	151.74		367580
4:	148.468		322826
4:	153.397		363116
4:	149.154		361504
4:	148.669		365252
4:	150.468		339925
4:	153.255		366318
4:	155.054		363015
4:	155.296		426150
4:	157.296		425872
4:	157.64		459627
4:	149.154		366560
4:	155.397		393189
4:	153.154		417537
4:	152.326		360688
4:	154.326		405773
4:	151.74		362954
4:	150.669		381061
4:	152.326		379912
4:	148.912		365508
4:	150.326		359779
4:	153.397		352046
4:	152.326		374201
4:	148.669		335135
4:	150.083		348634
4:	149.012		363714
4:	151.983		354220
5:	244.267		-45204.2
5:	251.238		-60704.8
5:	246.995		-63284.6
5:	242.024		-51602.3
5:	246.51		-48553.2
5:	242.61		-34322.6
5:	242.61		-52244.9
5:	243.338		-61775.6
5:	244.853		-66371.9
5:	243.581		-46593.6
5:	241.439		-46260.7
5:	241.196		-56068.5
5:	246.853		-55018
5:	240.853		-47927.5
5:	246.51		-75159.4
5:	240.368		-56344.9
5:	243.924		-47630.9
5:	238.368		-82566.9
5:	240.853		-67800.9
5:	238.752		-62473.3
5:	234.853		-77726.5
5:	232.267		-51338.5
5:	236.51		-71088.2
5:	235.095		-90508.6
5:	230.853		-76657.5
5:	234.167		-86634.3
5:	236.995		-82867.3
5:	239.095		-91166
5:	242.995		-85940.5
5:	243.581		-45410.7
5:	237.196		-62372.9
5:	244.409		-69375.5
5:	238.853		-77201.4
5:	243.338		-36204.3
5:	237.681		-45841.5
5:	243.924		-65046.2
5:	242.024		-62977.9
5:	244.51		-49955.1
5:	242.853		-57028.1
5:	250.309		-31426.3
5:	243.581		-8614.1
5:	236.752		-50911.7
5:	246.51		-62171.3
5:	242.267		-95942
5:	245.095		-52749.3
5:	247.238		-69367.9
5:	240.267		-67089.8
